"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
543,"1","2024-01-21T02:53:10.114246Z",545,"[{""start"":0,""end"":5,""text"":""鸡食盐中毒"",""labels"":[""disease""]},{""start"":28,""end"":32,""text"":""饮水增加"",""labels"":[""symptom""]},{""start"":33,""end"":43,""text"":""粪便稀薄或者混有稀水"",""labels"":[""symptom""]},{""start"":33,""end"":35,""text"":""粪便"",""labels"":[""bodypart""]}]",16.078,"鸡食盐中毒的情况有轻有重，所以症状也不相同。症状轻微的，饮水增加，粪便稀薄或者混有稀水。","2024-01-21T02:53:10.114246Z"
544,"1","2024-01-21T02:54:19.783308Z",546,"[{""start"":6,""end"":8,""text"":""病鸡"",""labels"":[""type""]},{""start"":8,""end"":14,""text"":""羽毛松乱无光"",""labels"":[""symptom""]},{""start"":10,""end"":14,""text"":""松乱无光"",""labels"":[""symptom""]},{""start"":15,""end"":21,""text"":""高度兴奋不安"",""labels"":[""symptom""]},{""start"":22,""end"":24,""text"":""鸣叫"",""labels"":[""symptom""]},{""start"":25,""end"":29,""text"":""争相饮水"",""labels"":[""symptom""]},{""start"":30,""end"":37,""text"":""食欲不振或废绝"",""labels"":[""symptom""]},{""start"":38,""end"":42,""text"":""嗉囊软胀"",""labels"":[""symptom""]},{""start"":40,""end"":42,""text"":""软胀"",""labels"":[""symptom""]},{""start"":43,""end"":53,""text"":""口角有黏性分泌物流出"",""labels"":[""symptom""]},{""start"":54,""end"":65,""text"":""两腿软弱无力或前后平伸"",""labels"":[""symptom""]},{""start"":61,""end"":65,""text"":""前后平伸"",""labels"":[""symptom""]},{""start"":56,""end"":60,""text"":""软弱无力"",""labels"":[""symptom""]},{""start"":66,""end"":70,""text"":""倒退运动"",""labels"":[""symptom""]},{""start"":76,""end"":80,""text"":""瘫于地上"",""labels"":[""symptom""]},{""start"":81,""end"":86,""text"":""向一侧运动"",""labels"":[""symptom""]},{""start"":87,""end"":91,""text"":""呆立一旁"",""labels"":[""symptom""]},{""start"":71,""end"":91,""text"":""后退几步即瘫于地上或向一侧运动或呆立一旁"",""labels"":[""symptom""]},{""start"":8,""end"":10,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":38,""end"":40,""text"":""嗉囊"",""labels"":[""bodypart""]},{""start"":43,""end"":45,""text"":""口角"",""labels"":[""bodypart""]},{""start"":54,""end"":56,""text"":""两腿"",""labels"":[""bodypart""]},{""start"":46,""end"":51,""text"":""黏性分泌物"",""labels"":[""symptom""]}]",84.77000000000001,"症状严重的，病鸡羽毛松乱无光、高度兴奋不安、鸣叫、争相饮水，食欲不振或废绝，嗉囊软胀、口角有黏性分泌物流出，两腿软弱无力或前后平伸、倒退运动，后退几步即瘫于地上或向一侧运动或呆立一旁。","2024-01-22T05:04:42.868206Z"
545,"1","2024-01-21T02:55:03.594417Z",547,"[{""start"":2,""end"":4,""text"":""病雏"",""labels"":[""type""]},{""start"":6,""end"":10,""text"":""精神沉郁"",""labels"":[""symptom""]},{""start"":11,""end"":15,""text"":""弓背缩颈"",""labels"":[""symptom""]},{""start"":16,""end"":20,""text"":""垂头闭眼"",""labels"":[""symptom""]},{""start"":23,""end"":27,""text"":""水样腹泻"",""labels"":[""symptom""]},{""start"":28,""end"":35,""text"":""死前阵发性痉挛"",""labels"":[""symptom""]},{""start"":36,""end"":38,""text"":""抽搐"",""labels"":[""symptom""]},{""start"":39,""end"":43,""text"":""呼吸困难"",""labels"":[""symptom""]},{""start"":44,""end"":48,""text"":""两翅伸展"",""labels"":[""symptom""]},{""start"":49,""end"":52,""text"":""喙着地"",""labels"":[""symptom""]},{""start"":55,""end"":59,""text"":""虚脱而死"",""labels"":[""symptom""]},{""start"":12,""end"":13,""text"":""背"",""labels"":[""bodypart""]},{""start"":14,""end"":15,""text"":""颈"",""labels"":[""bodypart""]},{""start"":17,""end"":18,""text"":""头"",""labels"":[""bodypart""]},{""start"":19,""end"":20,""text"":""眼"",""labels"":[""bodypart""]},{""start"":25,""end"":26,""text"":""腹"",""labels"":[""bodypart""]},{""start"":44,""end"":46,""text"":""两翅"",""labels"":[""bodypart""]},{""start"":49,""end"":50,""text"":""喙"",""labels"":[""bodypart""]},{""start"":46,""end"":48,""text"":""伸展"",""labels"":[""symptom""]}]",50.370999999999995,"有的病雏表现精神沉郁、弓背缩颈、垂头闭眼，后期水样腹泻。死前阵发性痉挛、抽搐、呼吸困难、两翅伸展、喙着地，最后虚脱而死。","2024-01-21T02:55:11.866292Z"
546,"1","2024-01-21T02:55:53.178514Z",548,"[{""start"":0,""end"":2,""text"":""死鸡"",""labels"":[""type""]},{""start"":8,""end"":12,""text"":""皮下水肿"",""labels"":[""pathology""]},{""start"":13,""end"":22,""text"":""有淡黄色胶样物浸润"",""labels"":[""pathology""]},{""start"":20,""end"":22,""text"":""浸润"",""labels"":[""pathology""]},{""start"":14,""end"":17,""text"":""淡黄色"",""labels"":[""pathology""]},{""start"":25,""end"":34,""text"":""腿部肌肉弥漫性出血"",""labels"":[""pathology""]},{""start"":29,""end"":34,""text"":""弥漫性出血"",""labels"":[""pathology""]},{""start"":35,""end"":42,""text"":""腹腔内大量积水"",""labels"":[""pathology""]},{""start"":44,""end"":47,""text"":""淡黄色"",""labels"":[""pathology""]},{""start"":49,""end"":61,""text"":""混有灰白色纤维蛋白渗出物"",""labels"":[""pathology""]},{""start"":51,""end"":54,""text"":""灰白色"",""labels"":[""pathology""]},{""start"":8,""end"":10,""text"":""皮下"",""labels"":[""bodypart""]},{""start"":10,""end"":12,""text"":""水肿"",""labels"":[""pathology""]},{""start"":23,""end"":24,""text"":""胸"",""labels"":[""bodypart""]},{""start"":25,""end"":29,""text"":""腿部肌肉"",""labels"":[""bodypart""]},{""start"":35,""end"":37,""text"":""腹腔"",""labels"":[""bodypart""]}]",38.553,"死鸡被解剖之后，皮下水肿或有淡黄色胶样物浸润；胸、腿部肌肉弥漫性出血；腹腔内大量积水，呈淡黄色，并混有灰白色纤维蛋白渗出物；","2024-01-21T02:55:53.178514Z"
547,"1","2024-01-21T02:59:27.966468Z",549,"[{""start"":0,""end"":8,""text"":""嗉囊积有大量黏液"",""labels"":[""pathology""]},{""start"":6,""end"":8,""text"":""黏液"",""labels"":[""pathology""]},{""start"":9,""end"":15,""text"":""腺胃黏膜充血"",""labels"":[""pathology""]},{""start"":13,""end"":15,""text"":""充血"",""labels"":[""pathology""]},{""start"":18,""end"":22,""text"":""形成假膜"",""labels"":[""pathology""]},{""start"":23,""end"":40,""text"":""小肠发生急性卡他性肠炎或出血性肠炎"",""labels"":[""pathology""]},{""start"":35,""end"":40,""text"":""出血性肠炎"",""labels"":[""pathology""]},{""start"":27,""end"":34,""text"":""急性卡他性肠炎"",""labels"":[""pathology""]},{""start"":41,""end"":46,""text"":""肝色淡肿大"",""labels"":[""pathology""]},{""start"":44,""end"":46,""text"":""肿大"",""labels"":[""pathology""]},{""start"":47,""end"":53,""text"":""边缘钝圆质脆"",""labels"":[""pathology""]},{""start"":54,""end"":62,""text"":""肝被膜附有凝血块"",""labels"":[""pathology""]},{""start"":59,""end"":62,""text"":""凝血块"",""labels"":[""pathology""]},{""start"":69,""end"":74,""text"":""肝实质萎缩"",""labels"":[""pathology""]},{""start"":72,""end"":74,""text"":""萎缩"",""labels"":[""pathology""]},{""start"":75,""end"":81,""text"":""表面不平变硬"",""labels"":[""pathology""]},{""start"":84,""end"":90,""text"":""肝面呈裂纹状"",""labels"":[""pathology""]},{""start"":91,""end"":95,""text"":""胆囊皱缩"",""labels"":[""pathology""]},{""start"":93,""end"":95,""text"":""皱缩"",""labels"":[""pathology""]},{""start"":87,""end"":90,""text"":""裂纹状"",""labels"":[""pathology""]},{""start"":0,""end"":2,""text"":""嗉囊"",""labels"":[""bodypart""]},{""start"":9,""end"":13,""text"":""腺胃黏膜"",""labels"":[""bodypart""]},{""start"":23,""end"":25,""text"":""小肠"",""labels"":[""bodypart""]},{""start"":41,""end"":42,""text"":""肝"",""labels"":[""bodypart""]},{""start"":54,""end"":57,""text"":""肝被膜"",""labels"":[""bodypart""]},{""start"":69,""end"":70,""text"":""肝"",""labels"":[""bodypart""]},{""start"":84,""end"":85,""text"":""肝"",""labels"":[""bodypart""]},{""start"":91,""end"":93,""text"":""胆囊"",""labels"":[""bodypart""]}]",259.793,"嗉囊积有大量黏液，腺胃黏膜充血，有的形成假膜；小肠发生急性卡他性肠炎或出血性肠炎；肝色淡肿大，边缘钝圆质脆，肝被膜附有凝血块，多数病例呈现肝实质萎缩，表面不平变硬，偶见肝面呈裂纹状，胆囊皱缩；","2024-01-21T03:00:14.770847Z"
548,"1","2024-01-21T03:01:41.017339Z",550,"[{""start"":0,""end"":12,""text"":""心外膜毛细血管扩张或出血"",""labels"":[""pathology""]},{""start"":10,""end"":12,""text"":""出血"",""labels"":[""pathology""]},{""start"":7,""end"":9,""text"":""扩张"",""labels"":[""pathology""]},{""start"":13,""end"":18,""text"":""心包有积液"",""labels"":[""pathology""]},{""start"":16,""end"":18,""text"":""积液"",""labels"":[""pathology""]},{""start"":19,""end"":22,""text"":""肺水肿"",""labels"":[""pathology""]},{""start"":20,""end"":22,""text"":""水肿"",""labels"":[""pathology""]},{""start"":23,""end"":27,""text"":""色淡灰红"",""labels"":[""pathology""]},{""start"":28,""end"":40,""text"":""脑膜及大脑皮层充血或水肿"",""labels"":[""pathology""]},{""start"":38,""end"":40,""text"":""水肿"",""labels"":[""pathology""]},{""start"":35,""end"":37,""text"":""充血"",""labels"":[""pathology""]},{""start"":0,""end"":3,""text"":""心外膜"",""labels"":[""bodypart""]},{""start"":3,""end"":7,""text"":""毛细血管"",""labels"":[""bodypart""]},{""start"":13,""end"":15,""text"":""心包"",""labels"":[""bodypart""]},{""start"":19,""end"":20,""text"":""肺"",""labels"":[""bodypart""]},{""start"":28,""end"":30,""text"":""脑膜"",""labels"":[""bodypart""]},{""start"":31,""end"":35,""text"":""大脑皮层"",""labels"":[""bodypart""]}]",32.242,"心外膜毛细血管扩张或出血，心包有积液；肺水肿，色淡灰红；脑膜及大脑皮层充血或水肿。","2024-01-21T03:01:41.017339Z"
549,"1","2024-01-21T03:02:05.184641Z",551,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":16,""end"":18,""text"":""病鸡"",""labels"":[""type""]},{""start"":24,""end"":32,""text"":""提供充足的新鲜水"",""labels"":[""control""]},{""start"":33,""end"":42,""text"":""水中可以加入小牧侠"",""labels"":[""control""]},{""start"":39,""end"":42,""text"":""小牧侠"",""labels"":[""drug""]},{""start"":43,""end"":47,""text"":""维矿剑客"",""labels"":[""drug""]},{""start"":48,""end"":52,""text"":""肝肾剑客"",""labels"":[""drug""]},{""start"":3,""end"":15,""text"":""立即停止喂含盐过多的饲料"",""labels"":[""control""]}]",32.480999999999995,"病鸡要立即停止喂含盐过多的饲料，病鸡轻度或中度，提供充足的新鲜水，水中可以加入小牧侠：维矿剑客+肝肾剑客，促进新陈代谢，促进体内毒素排出；","2024-01-22T08:16:04.595067Z"
550,"1","2024-01-21T03:02:32.831494Z",552,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":8,""end"":13,""text"":""减少饮水量"",""labels"":[""control""]}]",11.936,"病鸡中毒严重，要减少饮水量，要不然会导致食盐被吸收扩散，使中毒症状加剧；","2024-01-21T03:02:32.831494Z"
551,"1","2024-01-21T03:03:03.021391Z",553,"[{""start"":1,""end"":3,""text"":""病鸡"",""labels"":[""type""]},{""start"":6,""end"":9,""text"":""葡萄糖"",""labels"":[""drug""]},{""start"":36,""end"":41,""text"":""醋酸钾溶液"",""labels"":[""drug""]},{""start"":50,""end"":53,""text"":""植物油"",""labels"":[""drug""]},{""start"":24,""end"":25,""text"":""鸡"",""labels"":[""type""]},{""start"":6,""end"":18,""text"":""葡萄糖或红糖水以利尿解毒"",""labels"":[""control""]},{""start"":36,""end"":43,""text"":""醋酸钾溶液灌服"",""labels"":[""control""]},{""start"":48,""end"":55,""text"":""服用植物油缓泻"",""labels"":[""control""]}]",27.496,"给病鸡5%的葡萄糖或红糖水以利尿解毒，病情严重的鸡再加0.3%～0.5%醋酸钾溶液灌服，中毒早期服用植物油缓泻可减轻症状。","2024-01-21T03:03:03.021391Z"
552,"1","2024-01-21T03:03:50.273724Z",554,"[{""start"":0,""end"":5,""text"":""鸡食盐中毒"",""labels"":[""disease""]},{""start"":9,""end"":16,""text"":""食欲不振或废绝"",""labels"":[""symptom""]},{""start"":17,""end"":23,""text"":""嗉囊扩张膨大"",""labels"":[""symptom""]},{""start"":19,""end"":23,""text"":""扩张膨大"",""labels"":[""symptom""]},{""start"":24,""end"":34,""text"":""口鼻中流出粘性分泌物"",""labels"":[""symptom""]},{""start"":29,""end"":34,""text"":""粘性分泌物"",""labels"":[""symptom""]},{""start"":35,""end"":39,""text"":""患鸡口渴"",""labels"":[""symptom""]},{""start"":40,""end"":44,""text"":""大量饮水"",""labels"":[""symptom""]},{""start"":45,""end"":48,""text"":""常下痢"",""labels"":[""symptom""]},{""start"":49,""end"":53,""text"":""运动失调"",""labels"":[""symptom""]},{""start"":54,""end"":58,""text"":""两脚乏力"",""labels"":[""symptom""]},{""start"":56,""end"":58,""text"":""乏力"",""labels"":[""symptom""]},{""start"":59,""end"":63,""text"":""行走困难"",""labels"":[""symptom""]},{""start"":64,""end"":68,""text"":""神经症状"",""labels"":[""symptom""]},{""start"":17,""end"":19,""text"":""嗉囊"",""labels"":[""bodypart""]},{""start"":24,""end"":26,""text"":""口鼻"",""labels"":[""bodypart""]},{""start"":37,""end"":38,""text"":""口"",""labels"":[""bodypart""]},{""start"":54,""end"":56,""text"":""两脚"",""labels"":[""bodypart""]},{""start"":35,""end"":37,""text"":""患鸡"",""labels"":[""type""]}]",45.86,"鸡食盐中毒后表现为食欲不振或废绝，嗉囊扩张膨大，口鼻中流出粘性分泌物，患鸡口渴，大量饮水，常下痢，运动失调，两脚乏力，行走困难等神经症状。","2024-01-21T03:03:50.273724Z"
553,"1","2024-01-21T03:04:03.818108Z",555,"[{""start"":2,""end"":4,""text"":""患鸡"",""labels"":[""type""]},{""start"":4,""end"":6,""text"":""衰弱"",""labels"":[""symptom""]},{""start"":7,""end"":11,""text"":""呼吸困难"",""labels"":[""symptom""]},{""start"":12,""end"":14,""text"":""抽搐"",""labels"":[""symptom""]},{""start"":17,""end"":21,""text"":""虚脱而死"",""labels"":[""symptom""]}]",10.576,"后期患鸡衰弱，呼吸困难、抽搐，最后虚脱而死。","2024-01-21T03:04:03.818108Z"
554,"1","2024-01-21T03:05:26.814391Z",556,"[{""start"":4,""end"":13,""text"":""嗉囊中充满粘性液体"",""labels"":[""pathology""]},{""start"":9,""end"":13,""text"":""粘性液体"",""labels"":[""pathology""]},{""start"":14,""end"":18,""text"":""粘膜脱落"",""labels"":[""pathology""]},{""start"":16,""end"":18,""text"":""脱落"",""labels"":[""pathology""]},{""start"":19,""end"":25,""text"":""腺胃粘膜充血"",""labels"":[""pathology""]},{""start"":23,""end"":25,""text"":""充血"",""labels"":[""pathology""]},{""start"":26,""end"":34,""text"":""表面有时形成假膜"",""labels"":[""pathology""]},{""start"":35,""end"":45,""text"":""小肠有急性卡他性肠炎"",""labels"":[""pathology""]},{""start"":38,""end"":45,""text"":""急性卡他性肠炎"",""labels"":[""pathology""]},{""start"":46,""end"":54,""text"":""粘膜充血有出血点"",""labels"":[""pathology""]},{""start"":51,""end"":54,""text"":""出血点"",""labels"":[""pathology""]},{""start"":59,""end"":65,""text"":""皮下组织水肿"",""labels"":[""pathology""]},{""start"":63,""end"":65,""text"":""水肿"",""labels"":[""pathology""]},{""start"":66,""end"":74,""text"":""腹腔和心包有积水"",""labels"":[""pathology""]},{""start"":72,""end"":74,""text"":""积水"",""labels"":[""pathology""]},{""start"":75,""end"":78,""text"":""肺水肿"",""labels"":[""pathology""]},{""start"":76,""end"":78,""text"":""水肿"",""labels"":[""pathology""]},{""start"":79,""end"":85,""text"":""心脏有出血点"",""labels"":[""pathology""]},{""start"":82,""end"":85,""text"":""出血点"",""labels"":[""pathology""]},{""start"":86,""end"":90,""text"":""血液浓稠"",""labels"":[""pathology""]},{""start"":91,""end"":99,""text"":""脑膜血管扩张充血"",""labels"":[""pathology""]},{""start"":95,""end"":99,""text"":""扩张充血"",""labels"":[""pathology""]},{""start"":100,""end"":110,""text"":""常见针尖大小的出血点"",""labels"":[""pathology""]},{""start"":4,""end"":6,""text"":""嗉囊"",""labels"":[""bodypart""]},{""start"":14,""end"":16,""text"":""粘膜"",""labels"":[""bodypart""]},{""start"":19,""end"":23,""text"":""腺胃粘膜"",""labels"":[""bodypart""]},{""start"":35,""end"":37,""text"":""小肠"",""labels"":[""bodypart""]},{""start"":46,""end"":48,""text"":""粘膜"",""labels"":[""bodypart""]},{""start"":48,""end"":50,""text"":""充血"",""labels"":[""pathology""]},{""start"":59,""end"":63,""text"":""皮下组织"",""labels"":[""bodypart""]},{""start"":66,""end"":68,""text"":""腹腔"",""labels"":[""bodypart""]},{""start"":69,""end"":71,""text"":""心包"",""labels"":[""bodypart""]},{""start"":75,""end"":76,""text"":""肺"",""labels"":[""bodypart""]},{""start"":79,""end"":81,""text"":""心脏"",""labels"":[""bodypart""]},{""start"":86,""end"":88,""text"":""血液"",""labels"":[""bodypart""]},{""start"":91,""end"":95,""text"":""脑膜血管"",""labels"":[""bodypart""]}]",81.015,"剖检可见嗉囊中充满粘性液体，粘膜脱落，腺胃粘膜充血，表面有时形成假膜，小肠有急性卡他性肠炎，粘膜充血有出血点，有时可见皮下组织水肿，腹腔和心包有积水，肺水肿，心脏有出血点，血液浓稠，脑膜血管扩张充血，常见针尖大小的出血点。","2024-01-21T03:05:26.815390Z"
555,"1","2024-01-21T03:06:12.559679Z",557,"[{""start"":0,""end"":5,""text"":""鸡食盐中毒"",""labels"":[""disease""]},{""start"":11,""end"":25,""text"":""饲料中食盐添加量不超过0.5"",""labels"":[""control""]},{""start"":27,""end"":31,""text"":""拌和均匀"",""labels"":[""control""]},{""start"":34,""end"":39,""text"":""鸡食盐中毒"",""labels"":[""disease""]},{""start"":41,""end"":54,""text"":""立即停喂食盐和食盐高的饲料"",""labels"":[""control""]},{""start"":57,""end"":59,""text"":""患鸡"",""labels"":[""type""]},{""start"":59,""end"":65,""text"":""大量清洁饮水"",""labels"":[""control""]},{""start"":66,""end"":69,""text"":""喂牛乳"",""labels"":[""control""]},{""start"":73,""end"":75,""text"":""胃肠"",""labels"":[""bodypart""]},{""start"":94,""end"":98,""text"":""葡萄糖水"",""labels"":[""drug""]},{""start"":89,""end"":91,""text"":""静注"",""labels"":[""control""]}]",43.862,"鸡食盐中毒的防治措施：饲料中食盐添加量不超过0.5%且拌和均匀。发现鸡食盐中毒后要立即停喂食盐和食盐高的饲料，供给患鸡大量清洁饮水或喂牛乳，以稀释胃肠中盐分的浓度，利于排泄，也可静注25%葡萄糖水1~3毫升以维持心脏功能。","2024-01-21T03:06:12.559679Z"
556,"1","2024-01-21T03:06:26.638037Z",558,"[{""start"":0,""end"":1,""text"":""鸡"",""labels"":[""type""]},{""start"":17,""end"":21,""text"":""食盐中毒"",""labels"":[""disease""]},{""start"":28,""end"":29,""text"":""鸡"",""labels"":[""type""]},{""start"":82,""end"":84,""text"":""幼鸡"",""labels"":[""type""]}]",12.05,"鸡的日粮中添加过多的食盐，则会引起食盐中毒。据资料报道，鸡的食盐最小致死量为每公斤体重4克或饲料中食盐在每公斤3克以上，饮水中食盐量达到0.5%以上即可引起中毒。在幼鸡的饮水中食盐含量达0.9%时可引起100%的死亡率。","2024-01-21T03:06:26.638037Z"
557,"1","2024-01-21T03:06:51.745203Z",559,"[{""start"":14,""end"":16,""text"":""鸡体"",""labels"":[""type""]},{""start"":19,""end"":21,""text"":""体液"",""labels"":[""bodypart""]},{""start"":22,""end"":25,""text"":""软组织"",""labels"":[""bodypart""]},{""start"":33,""end"":35,""text"":""鸡体"",""labels"":[""type""]},{""start"":54,""end"":56,""text"":""胃液"",""labels"":[""bodypart""]}]",23.913,"食盐又称氯化钠，它变遍存在于鸡体所有的体液、软组织和鸡蛋。食盐有使鸡体组织保存一定分量水分的作用，它还是形成胃液的原料，对脂肪和蛋白质的消化吸收有重要作用。它又能改善日粮的适口性，促进食欲，提高饲料利用率，是一种必要的营养物质。","2024-01-21T03:06:51.745203Z"
558,"1","2024-01-21T03:07:05.507599Z",560,"[{""start"":26,""end"":27,""text"":""鸡"",""labels"":[""type""]},{""start"":42,""end"":43,""text"":""鸡"",""labels"":[""type""]},{""start"":49,""end"":51,""text"":""鸡体"",""labels"":[""type""]},{""start"":64,""end"":65,""text"":""鸡"",""labels"":[""type""]}]",12.221,"植物性饲料中食盐含量很少，动物性饲料中含量软多，但在鸡的一般日粮中的食盐量是不能满足鸡的需要的，而鸡体中食盐的贮存也很有限。因此鸡的日粮中必须配合一定量的食盐，不然就会引起氯化钠的缺乏。","2024-01-21T03:07:05.507599Z"
559,"1","2024-01-21T03:07:28.855465Z",561,"[{""start"":0,""end"":4,""text"":""食欲不振"",""labels"":[""symptom""]},{""start"":5,""end"":9,""text"":""消化障碍"",""labels"":[""symptom""]},{""start"":10,""end"":21,""text"":""脂肪及蛋白质的合成降低"",""labels"":[""symptom""]},{""start"":24,""end"":33,""text"":""生长发育迟缓或停滞"",""labels"":[""symptom""]},{""start"":34,""end"":41,""text"":""饲料利用率降低"",""labels"":[""symptom""]},{""start"":22,""end"":24,""text"":""雏鸡"",""labels"":[""type""]},{""start"":44,""end"":46,""text"":""啄癖"",""labels"":[""symptom""]}]",55.042,"食欲不振，消化障碍，脂肪及蛋白质的合成降低。雏鸡生长发育迟缓或停滞，饲料利用率降低，出现啄癖。","2024-01-22T08:26:11.952627Z"
560,"1","2024-01-21T03:08:14.841701Z",562,"[{""start"":6,""end"":10,""text"":""骨质变软"",""labels"":[""pathology""]},{""start"":11,""end"":19,""text"":""眼角膜发生角质化"",""labels"":[""pathology""]},{""start"":16,""end"":19,""text"":""角质化"",""labels"":[""pathology""]},{""start"":20,""end"":25,""text"":""肾上腺肥大"",""labels"":[""pathology""]},{""start"":23,""end"":25,""text"":""肥大"",""labels"":[""pathology""]},{""start"":26,""end"":32,""text"":""血浆容量减少"",""labels"":[""pathology""]},{""start"":42,""end"":48,""text"":""生长极度不良"",""labels"":[""pathology""]},{""start"":49,""end"":53,""text"":""血液浓缩"",""labels"":[""pathology""]},{""start"":54,""end"":58,""text"":""身体脱水"",""labels"":[""pathology""]},{""start"":51,""end"":53,""text"":""浓缩"",""labels"":[""pathology""]},{""start"":11,""end"":14,""text"":""眼角膜"",""labels"":[""bodypart""]},{""start"":20,""end"":23,""text"":""肾上腺"",""labels"":[""bodypart""]},{""start"":26,""end"":28,""text"":""血浆"",""labels"":[""bodypart""]},{""start"":49,""end"":51,""text"":""血液"",""labels"":[""bodypart""]},{""start"":33,""end"":35,""text"":""幼鸡"",""labels"":[""type""]}]",45.594,"日粮中缺钠的骨质变软，眼角膜发生角质化，肾上腺肥大，血浆容量减少。幼鸡日粮中缺氧时，生长极度不良，血液浓缩，身体脱水。","2024-01-21T03:08:32.306150Z"
561,"1","2024-01-21T03:08:49.910544Z",563,"[{""start"":9,""end"":10,""text"":""鸡"",""labels"":[""type""]},{""start"":20,""end"":24,""text"":""生长障碍"",""labels"":[""symptom""]},{""start"":25,""end"":31,""text"":""生殖机能降低"",""labels"":[""symptom""]},{""start"":32,""end"":40,""text"":""饲料利用能力障碍"",""labels"":[""symptom""]},{""start"":41,""end"":46,""text"":""死亡率增高"",""labels"":[""symptom""]},{""start"":49,""end"":51,""text"":""啄癖"",""labels"":[""symptom""]}]",16.591,"如食盐的供应达不到鸡的正常需要量，同时又生长障碍、生殖机能降低，饲料利用能力障碍，死亡率增高，发现啄癖等临床关头，可初步作出诊断。","2024-01-21T03:08:49.910544Z"
562,"1","2024-01-21T03:08:58.073631Z",564,"[{""start"":5,""end"":8,""text"":""成年鸡"",""labels"":[""type""]},{""start"":27,""end"":29,""text"":""雏鸡"",""labels"":[""type""]}]",5.929,"治疗：1、成年鸡一般每天只用食盐0.5―1.0克。2、雏鸡食盐的用量占粉料的0.5―1%。","2024-01-21T03:08:58.074671Z"
563,"1","2024-01-21T03:09:16.049038Z",565,"[{""start"":41,""end"":42,""text"":""鸡"",""labels"":[""type""]},{""start"":58,""end"":60,""text"":""鸡只"",""labels"":[""type""]}]",16.884,"预防：1、各种日龄和不同用途的对食盐的正常需要量为日粮的0.37―0.5%，大群养鸡在日粮中按此量加入食盐，即可满足鸡只正常生长发育的需要。2、加喂青绿饲料过多时，应适当增喂食盐。","2024-01-21T03:09:16.049038Z"
